input 1: WY King Air Cloud Radar Flight Track Imagery [UWY]

,id,archive_ident,title,summary,archive_note,begin_date,end_date,minimum_latitude,minimum_longitude,maximum_latitude,maximum_longitude,spatial_type,frequency_id,horizontal_resolution_id,vertical_resolution_id,progress,quality,current_version_id,language_id,point_of_contact_id,internal_contact_id,grant_contact_id,grant_code,file_event_label,auth_reqd,eula_reqd,online_orderable,offline_orderable,browseable,dodsable,is_eol_data,latest_file_id,latest_file_begin_date,catalog_visible,visible,row_create_contact_id,row_create_time,row_revise_contact_id,row_revise_time
14287,4256,45.250,Triple Hot Film Anemometer Measurements Compared to Sonic Anemometer Measurements in CASES-99 [Miller],"This dataset consists of an Excel spreadsheet and comma delimited ASCII format files containing data from sonic anemometers, triple hot film anemometers, single cold film anemometers, and pneumatic sheath systems during the CASES-99 project.  The data were recorded at 2 different heights.  For more information please see the read-me file.",,1999-10-01 00:00:00,1999-10-31 23:59:59,32.00000,-106.00000,42.00000,-88.00000,multiple,3,1,1,,,,123.0,55,73.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,1,72,2006-06-12 14:51:14,72,2017-05-17 20:26:32
14286,8762,40.040,GCIP/NESOB-97 Upper Air: NWS High-Resolution (6 second) Soundings,"The GCIP/NESOB-97 6-second NWS Soundings dataset contains  high resolution sounding data extracted from NWS MicroART Sounding systems at 12 sites in the NESOB-97 domain. The dataset contains one sounding level every 6 seconds up to 3000 m above the surface.  These data have been quality-controlled, with every sounding subjected to computerized consistency checks. This dataset includes pressure, temperature, dew point, relative humidity, wind speed, wind direction and altitude. ",,1997-04-01 00:00:00,1998-03-31 23:59:59,31.00000,-107.00000,40.00000,-91.00000,point,30,1,1,,,,123.0,1,73.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0,1,209,2011-08-24 11:09:17,209,2017-05-17 19:32:43
14285,128562,485.003,GOES-14 Imager 4 km Channel 2 (near-IR) Data (MciDAS Format),"<p>This dataset contains 4-km resolution GOES-14 near IR (channel 2) satellite data collected during the PECAN project. GOES-14 was brought out of storage during the first part of PECAN (1-12 June) for Super Rapid Scan Operations for GOES-R. These data are in McIDAS AREA file format and were provided by CIRA at Colorado State University. During this period SRSO would be called daily and the regional focus may vary from day to day depending on the weather. During SRSOR operations data are available every minute. NCAR/EOL collected and archived these data. During PECAN, GOES-14 was stationed at 105W. All files are combined into hourly tar files to minimize size and download time. Each filename contains the UTC date/time stamp at which the sector was broadcast. </p>",,2015-05-21 19:00:00,2015-06-15 13:59:59,25.00000,-105.00000,45.00000,-95.00000,,6,1,1,,,,123.0,1,73.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,1,179,2015-05-31 02:24:23,73,2020-02-20 14:17:44
14284,266567,553.010,Brazil Sao Borja Surface Meteorological Data,"<p>This data set contains 10 second resolution surface meteorological data from five automated weather stations located around Sao Borja, Brazil by INPE (Instituto Nacional de Pesquisas Espaciais) during the RELAMPAGO (Remote sensing of Electrification, Lightning, And Meso-scale/micro-scale Processes with Adaptive Ground Observations) field season.</p>",,2018-10-16 00:00:00,2018-12-10 23:59:59,-28.66800,-56.03900,-28.62500,-55.98600,point,38,1,1,,final,5372.0,123.0,1,136.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,1,2262,2019-04-15 19:45:22,73,2020-03-03 14:02:38
14283,2434,47.057,COMET CASE 024 NCEP's Aviation (AVN) Model.,"This dataset contains data from  NCEP's Aviation (AVN) Model. Model runs are for 00Z and 12Z daily with forecasts going out three days (at 00, 06, 12, 18, 24, 36, 48, 60, and 72 hours).  The data are archived in GRIB gridded files.",,2000-01-19 00:00:00,2000-01-26 23:59:59,20.00000,-135.00000,60.00000,-60.00000,grid,30,1,1,,,,123.0,2,2.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,1,190,2000-03-22 15:37:29,190,2015-06-01 17:25:41
14282,4635,71.010,NOAA/ATDD Audubon Research Ranch (Arizona) Flux Data,This is the flux data for the Audubon Research Ranch (Arizona) site.,,2002-06-07 00:00:00,2002-12-31 23:59:59,31.00000,-111.00000,32.00000,-110.00000,point,20,1,1,,,,123.0,199,73.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,1,72,2007-10-23 13:35:11,73,2020-01-09 13:11:38
14281,293115,592.060,Price County Wisconsin / USFS QL2 LiDAR Canopy and Elevation Data,<p>This dataset provides a link to the Wisconsin Elevation and LiDAR Data Inventory at the University of Wisconsin-Madison State Cartographers Office.</p>,,2019-06-24 00:00:00,2019-10-11 23:59:59,41.00000,-96.00000,49.00000,-87.00000,,1,1,1,completed,final,,123.0,1,136.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,1,1,1970-01-01 00:00:01,73,2020-06-10 15:35:22
14280,6214,77.013,Texas North Plains Potential Evapotranspiration Network Data [NCAR/EOL],<p>This data set contains hourly resolution surface meteorological data from the Texas North Plains Potential Evapotranspiration Network. This network includes 15 stations in the Texas panhandle region. This data set covers the period from 1 May to 30 June 2002 The data are in columnar ASCII format.</p>,,2002-05-01 00:00:00,2002-06-30 23:59:59,32.00000,-104.00000,37.00000,-99.00000,point,23,1,1,,,,123.0,1,73.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,1,72,2008-10-07 06:50:45,73,2020-01-08 16:44:58
14279,8680,2.169,FASTEX soundings from La Coruna (Spain),"This dataset consists of sounding data from La Coruna in Spain (WMO 08001) which was operated by INM.  Soundings were taken four times per day (00, 06, 12, and 18 UTC) for most of the FASTEX period.  These data were processed  through automated and visual quality control.  This dataset includes pressure, temperature, dew point, relative humidity, wind speed, wind direction, and altitude. Through 20 January these data were taken at 10 second intervals up to 300 s and 30 second intervals after 300 s. After 20 January, most soundings were 10 second resolution throughout.  Refer to the station README for details.",,1997-01-01 00:00:00,1997-02-28 23:59:59,43.36000,-8.42000,43.37000,-8.41000,point,28,1,1,,,,123.0,1,73.0,,,,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,0,1,73,2011-08-24 11:09:17,73,2015-06-01 17:25:41
14278,952,3.517,"COMET CASE 010 WSR-88D Base Reflectivity (second-lowest tilt angle) from Springfield, MO (SGF)","This dataset contains the base reflectivity (second-lowest tilt angle) data product archived from the Springfield, MO (SGF) radar. Data are archived in the NIDS format.  ",,1997-05-26 00:00:00,1997-05-27 23:59:59,34.20000,-96.30000,40.20000,-90.30000,raster,11,1,1,,,,123.0,2,2.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0,1,142,1998-05-08 09:16:49,142,2015-06-01 17:25:41
