id,archive_ident,title,summary,archive_note,begin_date,end_date,minimum_latitude,minimum_longitude,maximum_latitude,maximum_longitude,spatial_type,frequency_id,horizontal_resolution_id,vertical_resolution_id,progress,quality,current_version_id,language_id,point_of_contact_id,internal_contact_id,grant_contact_id,grant_code,file_event_label,auth_reqd,eula_reqd,online_orderable,offline_orderable,browseable,dodsable,is_eol_data,latest_file_id,latest_file_begin_date,catalog_visible,visible,row_create_contact_id,row_create_time,row_revise_contact_id,row_revise_time
2806,40.019,"GCIP/NESOB-97 Surface: Net Radiation and PAR Composite","NOAA/ATDD Little Washita Flux data and derived values from ARM SGP SIROS and SIRS data have been composited together into one data set. This data set is composed of 30-minute observations of Incoming PAR, Outgoing PAR, and Net Radiation from the NOAA/ATDD site, and a Net Radiation value derived from 20-second observations from the SIROS and SIRS networks. These data were not quality controlled by the University Corporation for Atmospheric Research/Joint Office for Science Support (UCAR/JOSS).",NULL,"1997-04-01 00:00:00","1998-03-31 23:59:59",34.00000,-100.50000,39.00000,-94.50000,point,20,1,1,NULL,NULL,NULL,123,1,73,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,149,"2001-02-17 18:58:21",889,"2019-10-25 18:55:55"
2546,50.011,"COMET CASE 026 WSR-88D Radial Velocity (lowest tilt angle) from SEATTLE/TACOMA, WA/","This dataset contains the  WSR-88D Radial Velocity (lowest tilt angle) data product archived from the  SEATTLE/TACOMA, WA/ (ATX) radar. Data are archived in the NIDS format.",NULL,"1999-11-23 00:00:00","1999-11-26 23:59:59",46.19000,-124.50000,50.19000,-120.50000,grid,12,1,1,NULL,NULL,NULL,123,2,2,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,190,"2000-07-06 15:10:59",190,"2015-06-01 17:25:41"
7503,89.130,"CIRPAS Twin Otter PDI Derived Liquid Water Content [Chuang]","This data set is comprised of time and Liquid Water Content (LWC) data. LWC was calculated using data collected by the Phase Doppler Interferometer and is in units of g/m^3. The data were collected from the left inboard of CIRPAS Twin Otter aircraft from 19 October 2008 through 13 November 2008.",NULL,"2008-10-19 00:00:00","2008-11-13 23:59:59",-30.00000,-90.00000,-15.00000,-70.00000,point,34,1,1,NULL,NULL,NULL,123,1,136,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,851,"2010-12-08 14:07:47",73,"2019-12-20 18:26:37"
1222,28.081,"COMET CASE 002 WSR-88D Base Reflectivity (lowest tilt angle) from Omaha, NE (OAX)","This dataset contains the base reflectivity (lowest tilt angle) data product archived from the Omaha, NE   (LOT) radar. Data are archived in the NIDS format.  ",NULL,"1995-12-06 00:00:00","1995-12-06 23:59:59",39.00000,-98.00000,43.00000,-94.00000,raster,16,1,1,NULL,NULL,NULL,123,2,2,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,190,"1998-09-21 09:27:19",190,"2015-06-01 17:25:41"
6171,62.111,"HLY-02-03 Ship Underway Data - Atmospheric Pressure (Plot) [NCAR/EOL]","<p>This data set consists of Atmospheric Pressure plots from the SBI U.S. Coast Guard Cutter (USCGC) Healy Summer 2002 Cruise (HLY-02-03). Files are in .png format.</p>",NULL,"2002-07-18 00:00:00","2002-08-24 23:59:59",60.00000,-180.00000,80.00000,-130.00000,raster,35,1,1,NULL,NULL,1549,123,1,171,NULL,NULL,NULL,0,0,1,0,1,0,0,NULL,NULL,0,1,72,"2008-10-07 06:50:45",73,"2019-12-12 17:22:56"
4614,88.098,"NOAA N42 P-3 Radar Doppler Wind Analysis Imagery - legs at 0.5km [NOAA/AOML/HRD]","This dataset contains JPEG xy plots of Doppler wind analysis from 0.5 km by flight leg of the N42RF airborne radar during Dennis, Ophelia, Rita, and Wilma.  These data were downloaded from the National Oceanic and Atmospheric Administration (NOAA) Office of Oceanic and Atmospheric Research Atlantic Oceanographic and Meteorological Laboratory (AOML) Hurricane Research Division (HRD) Mission Catalog 2005 Radar Data pages for Dennis, Ophelia, Rita, and Wilma.",NULL,"2005-07-08 05:06:00","2005-10-23 21:10:59",10.00000,-100.00000,40.00000,-50.00000,raster,35,1,1,NULL,NULL,NULL,123,1,171,NULL,NULL,NULL,0,0,1,0,1,0,0,NULL,NULL,0,1,704,"2007-09-13 14:15:33",704,"2015-06-01 17:25:41"
8529,62.246,"HLY-04-02 Dissolved Inorganic Carbon (DIC) Data [Bates, N. R.]","<p>This data set contains Dissolved Inorganic Carbon (DIC) data collected during the SBI spring 2004 cruise of the Chukchi and Beaufort Seas aboard the U.S. Coast Guard Cutter (USCGC) Healy. Data are provided in both Excel file and ASCII file format, with one data file for each file format.</p> 
<p>Note: Data have been updated as of 10 June 2011.</p>",NULL,"2004-05-15 00:00:00","2004-06-23 23:59:59",60.00000,-170.00000,80.00000,-153.00000,point,35,1,1,NULL,NULL,1585,123,119,171,NULL,0124868,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,851,"2011-06-27 10:44:47",73,"2020-01-10 17:13:51"
200019,335.006,"NCAR/EOL Low-rate Quality Controlled ISFF data","<p>This dataset contains low-rate variables from the NCAR/EOL Integrated Surface Flux Facility (ISFF) data collected during the Investigation of Sulfur Chemistry in the Antarctic Troposphere (ISCAT) project that ocurred in 2000. These data are in NetCDF format and have been quality controlled.</p>",NULL,"2000-11-20 00:00:00","2000-12-29 23:59:59",-90.00000,-180.00000,-90.00000,180.00000,unknown,3,1,1,NULL,final,4651,123,1,2093,NULL,NULL,NULL,0,0,1,0,0,0,1,NULL,NULL,0,1,2093,"2017-04-11 20:54:06",2093,"2017-04-11 20:56:51"
4202,21.051,"GCIP/EOP Surface: Precipitation NCEP/EMC 4KM Gridded Data (GRIB) Gage-Only 24h accumulated RFC -2001","<p>This dataset contains the National Centers for Environmental Prediction (NCEP) Environmental Modeling Center (EMC) 4 KM GRIB gage-only analysis using 24h accumulated ("RFC") dataset. A prototype, real-time, hourly, multi-sensor National Preciptation Analysis (NPA) has been developed at NCEP in cooperation with the Office of Hydrology (OH). This analysis merges two data sources that are currently being collected in real-time by OH and NCEP. Hourly digital precipitation (HDP) radar estimates are created by the WSR-88D Radar Product Generator on a 131 X 131 4-km grid centered over each radar site. Data analysis routines, including a bias correction of the radar estimates using rain gage data, have been adapted by NCEP on a national 4-km grid from algorithms developed by OH and executed regionally at NWS River Forecast Centers (RFC). This dataset only contains the NCEP 4 KM GRIB Data gage-only analysis using 24h accumulated ("RFC") data. Other NCEP 4 KM GRIB Data including gage-only analysis, multi-sensor analysis (gage and unbiased radar), radar estimate (no bias removal) and radar estimate after bias removal are available as independent datasets. Depending on the time period selected, all five types may or may not be available. Please see GCIP/EOP: Surface NCEP Ancillary Catalogue of Available GCIP Precipitation Data (NCEP/EMC). The format of the files is GRIB. The files are compressed using the UNIX "compress" command and "uncompress" must be used before decoding. This dataset is provided as is and was not quality controlled by UCAR/JOSS.</p>",NULL,"1998-04-01 00:00:00","2001-12-31 23:59:59",25.00000,-125.00000,49.00000,-67.00000,point,31,1,1,NULL,NULL,NULL,123,2568,136,NULL,NULL,NULL,0,0,1,0,0,0,0,NULL,NULL,0,1,179,"2006-06-12 14:51:14",815,"2020-07-01 20:58:50"
8376,175.007,"Navigation, State Parameter, and Microphysics LRT Data in NetCDF format","<p>This data set includes airborne measurements obtained from the NCAR Research Aviation Facility (RAF) Sabreliner aircraft (Tail Number: N307D) during the Aircraft Vertical Separation Standards Project (AVSSP). This dataset contains low rate navigation, state parameter, and microphysics flight-level data in NetCDF format.</p>",NULL,"1985-07-25 09:46:00","1985-08-29 14:39:59",31.77500,-111.97300,33.07800,-109.22800,unknown,4,1,1,NULL,final,2906,123,1,2330,NULL,NULL,NULL,0,0,1,0,0,0,1,NULL,NULL,0,1,815,"2011-06-02 12:37:38",889,"2019-11-06 00:24:45"
